Table: Table_1

Rotfrukter. ;;Spa- ;Gräs och foderväxter ;andra ;Andra ;;H ;ö s t ;$ ã ;d. ;;;V ;à r ;s ã d: ;S t ;r à 8 ;ä d. ;;;
Potatis. ;Andra rot- ;nads- väx- ;till bete ;till hö- ;växt- slag. ;Träde. ;;(Höst-)Hvete. ;(Höst-)Râg. ;;(Vâr-)Hvete. ;;(Var-)Râg. ;;;Korn. ;Hafre. ;;Blandsäd. ;;
;frukt. ;ter. ;o. grönf. ;skörd. ;;;Utsäde. ;Skörd. ;Utsüde. ;Skörd. ;Utsäde. ;Skörd. ;Utsäde. ;Skörd. ;Utsäde. ;Skörd. ;Utsäde. ;Skörd. ;Utsüde. ;Skörd. ;
H ;e k ;t ;a r. ;;;;;;;;H e ;k ;t ;o I ;i ;t e ;r. ;;;;
12,091 ;36,518 ;15 ;26,922 ;67,308 ;619 ;24,026 ;72,615 ;988.173 ;75,700 ;641,879 ;1,313 ;13.201 ;1,793 ;16,641 ;99,363 ;1,073,371 ;152,300 ;1,488,568 ;128,392 ;1,360,046 ;
73 ;105 ;- ;60 ;129 ;70 ;17 ;169 ;2,479 ;165 ;1,705 ;- ;- ;51 ;476 ;378 ;3,780 ;324 ;4,212 ;273 ;3,280 ;
8 ;143 ;- ;44 ;164 ;1 ;9 ;302 ;3,751 ;30 ;310 ;- ;- ;6 ;56 ;288 ;3,840 ;192 ;2,880 ;352 ;5,300 ;
10 ;115 ;- ;34 ;80 ;38 ;4 ;230 ;3,680 ;24 ;280 ;- ;- ;- ;- ;198 ;2,640 ;212 ;2,968 ;136 ;1,681 ;
27 ;40 ;- ;25 ;60 ;14 ;12 ;72 ;1,160 ;57 ;589 ;-- ;- ;- ;- ;30 ;500 ;252 ;3,150 ;36 ;550 ;
9 ;37 ;- ;9 ;34 ;6 ;- ;35 ;434 ;27 ;189 ;- ;- ;- ;- ;39 ;390 ;96 ;960 ;59 ;558 ;
20 ;129 ;- ;57 ;83 ;- ;25 ;190 ;2,356 ;45 ;465 ;3 ;27 ;- ;- ;432 ;4,464 ;168 ;2,562 ;173 ;2,652 ;
17 ;4 ;- ;;61 ;- ;2 ;- ;- ;93 ;930 ;- ;- ;- ;- ;39 ;520 ;84 ;1,260 ;79 ;1,200 ;
8 ;- ;- ;1 ;50 ;- ;- ;- ;- ;32 ;390 ;- ;- ;- ;- ;6 ;80 ;40 ;600 ;43 ;650 ;
172 ;573 ;- ;230 ;661 ;129 ;69 ;998 ;13,860 ;473 ;4,858 ;3 ;27 ;57 ;532 ;1,410 ;16,214 ;1,368 ;18,592 ;1,151 ;15,871 ;
19,263 ;37,091 ;15 ;27,152 ;67,969 ;748 ;24,095 ;73,613 ;1,002,033 ;76,173 ;646,787 ;1,316 ;13,228 ;1,850 ;17,173 ;100,773 ;1,059,585 ;153,668 ;1,507,160 ;129,543 ;1,875,917 ;
12,266 ;37,043 ;15 ;27,299 ;68,196 ;750 ;24,144 ;73,748 ;1,068,853 ;76,248 ;794,285 ;1,532 ;15,473 ;1,912 ;16,518 ;100,959 ;1,201,173 ;153,794 ;1,763,761 ;128,994 ;1,634,212 ;





