Table: Table_1

1. ;42. ;43. ;II 44. ;45. ;46. ;47. ;/ 48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;57. ;58. ;59. ;62. ;63. I ;64. ;67. ;68. ;72. ;73. ;74 ;75. ;76. ;77. ;78. ;79. ;80. ;81. ;82. ;83. ;
;;;;;;;U ;t S ;ã d ;e o ;c h ;B ;* ;õ r ;d. ;;;;;;;Vidd jordförbättringar. ;;;;Antal ;vid m ;idten af ;juli ;manad ;;erhallna ;kreatur ;m. m. ;;
;;VArsão: ;;;Baljväxter. ;;;;Rotfrnkte ;;Lin ;och ;hampa, ;Gräs o. ;andra ;fodervärter. ;;Andra ;;viztelag. ;;Under- dikning ;Angs- ;Antal ;Hästar. ;;;;;Ungnöt ;;;;;;
Omrâde. ;;Arter. ;Bönor. ;;;Vicker. ;;Potatis, ;Foder- rotfrakter. ;Socker- betor. ;Frö. ;;Spanads- ämne. ;Frö timotej- ;(klöfver-, o. d.). ;Hö (frân odlad jord). ;Bohvete. ;;Tobak. ;Grön- rotsaker ;och ;(täck- dik- ;vatt- ning. ;frukt- träd. ;Öfver ;Under ;Oxar. ;Tjurar. ;Kor. ;(under 2 &r) ;Far och ;Getter och killin- ;Svin och ;Bi- sam- ;Höns, kalkoner gäss och ;
(Socknar och härad samt städer.) ;Utsüde ;Skörd. ;Utsüde ;Skörd ;Utsäde ;Skörd. ;Utsäde, ;Skörd. ;Skörd. ;Skörd. ;;;Skörd. ;Utsüde. ;Skörd. ;Skörd. ;Utsäde. ;Skörd. ;Skörd. ;Utsäde ;Skörd. ;ning). ;;;ir. ;3 och föl. ;;;;och kalfvar. ;lamm. ;gar. ;grisar. ;hällen. ;ankor. ;
;;;H ;e k ;t ;o 1 ;i t ;e r. ;;Deciton. ;Hektoliter ;;;D ;e o ;n. ;;Hektoliter. ;Decit. ;;Hektoliter. ;Hektar ;;;;;;;;;;;;;;
45 Suârestad ;12 ;120 ;;;15 ;114 ;594 ;5.589 ;11,286 ;24,000 ;- ;- ;- ;23 ;- ;9,120 ;- ;- ;- ;- ;3,000 ;972 ;7 ;2,808 ;173 ;22 ;- ;13 ;457 ;241 ;118 ;;783 ;23 ;2,533 45 ;
46 Villie ;52 ;504 ;12 ;105 ;27 ;209 ;1.276 ;9,280 ;77,040 ;57,120 ;- ;- ;- ;66 ;- ;17,960 ;- ;- ;- ;;;2,284 ;8 ;4,942 ;348 ;51 ;1 ;28 ;885 ;623 ;335 ;22 ;1.321 ;148 ;6,120 46 ;
47 Västra Nöbbelöf ;7 ;72 ;- ;- ;3 ;19 ;528 ;3,840 ;16,692 ;42,840 ;- ;- ;- ;16 ;- ;4,440 ;- ;- ;15 ;- ;- ;885 ;4 ;2,747 ;193 ;37 ;1 ;25 ;422 ;309 ;151 ;6 ;316 ;52 ;2,742 47 ;
Ljunits härad ;162 ;1,584 ;17 ;147 ;98 ;741 ;4.696 ;38,497 ;234,168 ;234,880 ;- ;- ;- ;219 ;- ;68,260 ;1 ;20 ;15 ;- ;5.000 ;8,480 ;97 ;20.102 ;1,481 ;232 ;2 ;117 ;3.920 ;2,655 ;1 270 ;29 ;4,112 ;318 ;22,004 ;
Summa för landsbygden ;2,816 ;27,513 ;191 ;1,554 ;3,237 ;24,482 ;266.226 ;2,445,145 ;8,677,833 ;7,362,788 ;45 ;- ;45 ;10,125 ;299 ;2,967,409 ;53 ;1,060 ;660 ;- ;260,000 ;7.903 ;2,114 ;597,768 ;50,456 ;13,954 ;306 ;5,891 ;136,254 ;88,812 ;49,764 ;416 ;154.745 ;8,991 ;580,671 ;
48 Malmö ;- ;;- ;- ;5 ;38 ;1,606 ;15,622 ;17,997 ;27,200 ;- ;- ;- ;19 ;- ;3,550 ;- ;- ;- ;- ;35,000 ;860 ;- ;8,379 ;2.200 ;23 ;- ;3 ;290 ;39 ;4 ;32 ;394 ;53 ;2,750,48 ;
49 Lund ;5 ;48 ;- ;- ;3 ;19 ;176 ;1,600 ;10,866 ;42,160 ;- ;- ;- ;24 ;- ;8,200 ;- ;- ;- ;- ;500 ;382 ;3 ;3,803 ;285 ;17 ;- ;10 ;292 ;118 ;44 ;5 ;239 ;28 ;1,268 49 ;
50 Landskrona ;5 ;48 ;- ;- ;5 ;38 ;220 ;2,420 ;13,000 ;36,720 ;- ;- ;- ;12 ;- ;4,400 ;- ;-- ;15 ;- ;18,500 ;371 ;;4,760 ;814 ;8 ;- ;2 ;222 ;41 ;58 ;;349 ;30 ;971 50 ;
51 Hälsingborg ;;;- ;;- ;- ;594 ;5,400 ;4.998 ;10,880 ;- ;- ;- ;9 ;- ;2.400 ;- ;- ;;- ;8,000 ;385 ;- ;3,678 ;834 ;3 ;- ;3 ;113 ;27 ;8 ;7 ;95 ;30 ;1,600 51 ;
52 Ystad ;3 ;24 ;;- ;- ;;198 ;3,213 ;2.284 ;9,900 ;- ;- ;- ;5 ;- ;1,360 ;- ;;;- ;3,000 ;162 ;- ;4,832 ;574 ;;;2 ;63 ;5 ;6 ;4 ;432 ;42 ;3,627 52 ;
53 Trälleborg ;;;- ;- ;17 ;133 ;440 ;1,680 ;3,420 ;45,240 ;- ;;- ;12 ;- ;4,980 ;- ;- ;- ;;;316 ;- ;1,515 ;210 ;2 ;- ;6 ;241 ;101 ;69 ;;152 ;19 ;1.267,53 ;
54 Skanör ;3 ;24 ;- ;- ;3 ;19 ;374 ;4,250 ;2,571 ;380 ;- ;;- ;9 ;- ;1,860 ;- ;- ;- ;;;;- ;2,738 ;63 ;1 ;;5 ;106 ;100 ;147 ;4 ;42 ;16 ;3,506 54 ;
55 Falsterbo ;- ;;- ;- ;- ;;176 ;2,000 ;- ;- ;- ;- ;- ;7 ;- ;1,470 ;- ;- ;- ;- ;;- ;- ;3,526 ;35 ;- ;- ;- ;53 ;37 ;95 ;1 ;21 ;25 ;1,830 55 ;
Summa för städerna ;16 ;144 ;- ;- ;33 ;247 ;3,784 ;36,185 ;55,136 ;172,480 ;- ;- ;- ;97 ;- ;28,220 ;- ;- ;15 ;- ;65,000 ;2.476 ;3 ;33,231 ;5,045 ;54 ;- ;31 ;1,380 ;468 ;431 ;53 ;1.724 ;243 ;16,819 ;
Summa för hela länetâr 1910 ;2,832 ;27,657 ;191 ;1,554 ;8,270 ;24,729 ;270.010 ;2,481,830 ;8,782,969 ;7,535,218 ;45 ;- ;45 ;10,222 ;299 ;2,996,629 ;53 ;1,060 ;675 ;- ;325,000 ;259,679 ;2,117 ;630,999 ;55,501 ;14,008 ;306 ;5,922 ;137,634 ;89,280 ;50,195 ;469 ;156.469 ;9,234 ;597,490 ;
1909 ;2,812 ;27,480 ;209 ;1,800 ;3,300 ;25,159 ;270,076 ;1.993,296 ;8,552,159 ;6,925,982 ;46 ;- ;51 ;10,258 ;310 ;3,095,764 ;53 ;1,060 ;675 ;- ;325,000 ;259,679 ;2,117 ;630,999 ;55,098 ;13,985 ;306 ;5,886 ;136,391 ;88,697 ;49,774 ;467 ;154,873 ;9,130 ;589,698 ;





