;1. ;2. ;3. 4. ;5. ;6. ;7. Il ;8. 9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;I 20. ;21. I ;22. ;23. I 24. ;25. ;26. ;27. ;28. 29. ;30. ;31. ;32. ;33. ;34. ;35 ;36. ;37. ;38. ;39. ;40. ;41. 1 ;
;;;;Däraf ;antal ;brukningsdelar, ;som ;brukas af ;;Antal ;Hela ;;D ä ;r a f ;;;o d 1 ;a d a ;g o V ;d d e ;n 8 a n V ;ä n d ;n i n ;g. ;;;U t ;s ã ;d ;e ;o c ;h $ ;k ö ;r d ;;;;
;;Nu- ;Antal bruk- ;Ägarne brukningsdelar ;själfva: med ;odlad ;Brukare (af brukningsdelar ;andras med ;jord): odlad ;jord- torp och ;ägo- vidden ;Träd- humle- ;Aker och ;Natur- ;Skog- ;;Varsäd. ;;Rotfrukter. ;;Gräs och Spa- foderväxter ;andra ;Andra ;;H ö 8 t ;$ ã ;d. ;;;V ;& ;S ä d: ;S t ;r à 8 ;ä d. ;;do ;
;Omrâde. ;varande mantal. ;nings- ;jord ;om ;;jord ;om ;;andra jord- ;(utan ;och kâl- ;aunan odlad ;lig äng. ;bäran- de ;Höst- säd. ;Strasäd ;Balj- vüx- ;Potatis ;Andra rot- ;nads- väx- till bete ;till hö- ;växt- slag. ;Träde. ;(Höst-)Hvete. ;(Höst-)Râg. ;;(Vâr-)Hvete. ;;(Var-)Râg. ;;Korn. ;;Hafre. ;;Blandsäd. ;;
;(Socknar och härad samt städer.) ;;delar. högst 2 t ;öfver m. ;20 o. m. ;öfver 100 ;högst öfver 2hek-|t m. ;2ofver 20 m. ;öfver 100 ;lügen- ;vatten) ;gärd. ;jord. ;;mark. ;;;ter. ;;frukt. ;ter. grönf. ;skörd. ;;;Utsäde Skörd. ;Utsüde ;Skörd. ;Utsäde. ;Skörd. ;Utsäde. ;Skörd. ;Utsäde. ;Skörd. ;Utsüde. ;Skörd. ;Utsüde ;Skörd. ;
;;;hektar. ;20 har. ;100 har. ;har. ;tar. 20 har ;100 har. ;har. ;heter. ;;H ;k t ;a r. ;;;;;H ;e k ;t a r. ;;;;;;;H e ;k ;t ;o I ;i ;t e ;r. ;;;;
21 ;Sodra Ásum ;19 854 ;191 32 ;139 ;13 ;2 ;2 ;1 ;;7 ;2,903 ;41 ;1,993 ;124 ;;;541 ;21 ;;100 ;- 307 ;;;155 ;;;;;;;;;;;;;5,649,21 ;
22 ;Söfde ;34:562 ;113 1 ;21 ;6 ;5 ;1 33 ;45 ;1 ;12 ;7,007 ;38 ;4,025 ;292 ;2,006 ;603 ;1,220 ;6 ;170 ;202 ;- 203 ;963 ;4 ;654 ;442 7,080 ;1,278 ;9,798 ;- ;;165 ;1,540 ;543 ;5,973 ;2,124 ;10,620 ;1,511 ;9,534 22 ;
23 24 25 ;Tolanga Vanstad Vollsjö ;20-625 17-844 10:417 ;247 31 202 42 182 42 ;156 135 118 ;33 13 15 ;1 1 ;4 9 5 2 3 ;13 5 ;1 1 ;4 ;4,062 2,586 1,971 ;40 39 27 ;3,018 2,124 1,501 ;151 55 71 ;477 141 268 ;365 293 197 ;1,101 715 481 ;27 6 29 ;179 111 147 ;136 114 105 ;- 159 - 154 - 77 ;783 583 357 ;1 2 ;268 147 106 ;105 1.344 77 930 65 520 ;969 786 513 ;6,460 7,860 3,933 ;- - 3 ;- 27 ;- - ;- - ;186 243 189 ;1,612 2,430 1,071 ;1,816 1,212 752 ;14,074 12,423 3,760 ;1,948 1,098 1.152 ;21,060 23 10,230 2 5,760 2 ;
26 ;Vamb ;4:750 ;28 ;;;;13 ;11 ;4 ;12 ;2,894 ;13 ;1,065 ;329 ;1,113 ;190 ;210 ;- ;132 ;30 ;- 41 ;123 ;9 ;330 ;;567 ;2,090 ;- ;;90 ;840 ;15 ;150 ;268 ;2,010 ;359 ;2,268,26 ;
27| ;Västerstad ;20 812 ;306 60 ;212 ;22 ;;7 ;5 ;;- ;3,154 ;42 ;2,759 ;27 ;102 ;346 ;922 ;13 ;151 ;139 ;- 202 ;806 ;2 ;178 ;47 570 ;981 ;6,867 ;;;3 ;28 ;216 ;2,160 ;1,480 ;9,470 ;1,595 ;14,400,27 ;
28 ;Ostraby ;24 729 ;320 36 ;245 ;21 ;;1 12 ;3 ;2 ;;4,291 ;46 ;3,131 ;182 ;274 ;399 ;1,163 ;21 ;292 ;187 ;- 124 ;772 ;5 ;168 ;65 780 ;1,122 ;7,854 ;5 ;54 ;6 ;56 ;282 ;1,974 ;1,540 ;11,550 ;2,264 ;20,400 € ;
29 ;Ostra Kärrstorp ;14-750 ;140 25 ;91 ;14 ;1 ;2 5 ;2 ;;11 ;2,155 ;25 ;1,681 ;26 ;115 ;202 ;610 ;5 ;92 ;89 ;- 87 ;491 ;2 ;103 ;150 1,860 ;432 ;4,089 ;3 ;27 ;3 ;28 ;327 ;3,270 ;696 ;7,656 ;1,085 ;10,106 29 ;
30 ;Oved ;6 896 ;39 - ;- ;- ;1 ;24 ;9 ;5 ;78 ;3,604 ;46 ;1,675 ;183 ;1,548 ;261 ;574 ;14 ;73 ;221 ;- 74 ;398 ;5 ;55 ;202 3,630 ;417 ;1,529 ;- ;;24 ;224 ;450 ;4,500 ;356 ;2,262 ;1,088 ;6,888 30 ;
;Färs härad ;306-841 ;2,864 414 ;1,774 ;300 ;16 ;27 176 ;135 ;22 ;206 ;58,429 ;573 ;38,698 ;2,919 ;9,051 ;5,208 ;12,926 ;354 ;2,774 ;2,147 ;- 2,550 ;9,090 ;41 ;3,608 ;1,982 26,221 ;13,158 ;92,632 ;25 ;243 ;416 ;3,892 ;4,704 ;40,774 ;20,548 ;139,177 ;20,661 ;160,480 ;
31) ;Baldringe ;16 313 ;41 1 ;26 ;10 ;2 ;1 ;1 ;;13 ;2,240 ;28 ;1,210 ;158 ;206 ;169 ;347 ;7 ;44 ;89 ;- 135 ;288 ;- ;131 ;81 990 ;411 ;2,871 ;- ;- ;- ;- ;217 ;2,160 ;604 ;6,191 ;410 ;5,412 3 ;
