Table: Table_1

;1. ;2. ;3. ;4. ;5. ;6. ;7. Il ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;
;;;;;Däraf ;antal ;brukningsdelar, ;;som ;brukas af ;;Antal ;Hela ;;D ä ;r a f ;;;0 d 1 ;a d e ;
;Omrâde. ;Nu- varande ;Antal bruk- nings- ;;Ägarne brukningsdelar jord ;själfva: med om ;odlad ;Brukare ;(af brukningsdelar jord ;andras med om ;jord): odlad ;jord- torp och andra ;ägo- vidden (utan ;Träd-, humle- och ;Áker och aunan ;Natur- lig ;Skog- bäran- de ;Höst- süd. ;Varsäd. ;Balj- ;
;(Socknar och härad ;mantal. ;delar. ;högst ;öfver 2 ;öfver 20 ;öfver ;högst ;öfver 2 ;öfver 20 ;öfver ;jord- ;vatten). ;kâl- ;odlad ;äng. ;mark. ;;Strasäd. ;väx- ;
;samt städer.) ;;;2 ;t. o. m. ;t. o. m. ;100 ;hek- ;t. o. m. ;t. m. ;100 ;lägen- ;;gärd. ;jord. ;;;;;ter. ;
;;;;hektar ;20 har. ;100 har. ;har. ;tar. ;20 har. ;100 har. ;har. ;heter. ;;H e ;k t ;a r. ;;;;;
;Ijunits härad ;113-552 ;959 ;364 ;450 ;53 ;8 ;16 ;51 ;14 ;1 ;15 ;10.799 ;193 ;9,030 ;276 ;774 ;1,479 ;3,053 ;111 ;
;Summa för landsbygden ;4,073-932 ;23,554 ;5,732 ;10,013 ;2,825 ;183 ;673 ;2.228 ;1,694 ;206 ;5,005 ;464,673 ;7,565 ;334,945 ;14,579 ;43,754 ;54,397 ;110,498 ;2,551 ;
48 ;Malmö ;45-094 ;92 ;10 ;14 ;2 ;- ;3 ;54 ;8 ;1 ;- ;1,782 ;158 ;884 ;105 ;- ;122 ;306 ;2 ;
49 ;Lund ;37-000 ;61 ;7 ;14 ;1 ;- ;3 ;25 ;11 ;- ;- ;1,205 ;55 ;754 ;5 ;- ;131 ;251 ;3 ;
50 ;Landskrona ;13:750 ;49 ;8 ;29 ;7 ;- ;;4 ;1 ;- ;- ;1,057 ;12 ;544 ;- ;19 ;100 ;159 ;4 ;
51 ;Hälsingborg ;14:125 ;32 ;;3 ;1 ;1 ;1 ;25 ;1 ;- ;- ;862 ;45 ;310 ;- ;2 ;48 ;84 ;;
52 ;Ystad ;15:750 ;35 ;10 ;11 ;;- ;4 ;10 ;- ;- ;- ;1,043 ;48 ;174 ;3 ;428 ;23 ;55 ;1 ;
53 ;Trälleborg ;6:250 ;84 ;20 ;50 ;4 ;- ;1 ;6 ;3 ;- ;- ;819 ;13 ;651 ;21 ;- ;91 ;239 ;7 ;
54 ;Skanör ;9000 ;{ 79 ;38 ;40 ;1 ;- ;- ;- ;- ;- ;- ;1,649 ;48 ;175 ;165 ;50 ;31 ;58 ;2 ;
55 ;Falsterbo ;;48 ;33 ;15 ;- ;- ;- ;- ;- ;- ;- ;;13 ;97 ;21 ;35 ;13 ;25 ;- ;
;Summa för städerna ;140969 ;480 ;126 ;176 ;16 ;1 ;12 ;124 ;24 ;1 ;- ;8,417 ;392 ;3,569 ;320 ;534 ;559 ;1,177 ;19 ;
;Summa för hela länet ar 1910 ;4,214-901 ;24,034 ;5,858 ;10,189 ;2,841 ;184 ;685 ;2,352 ;1,718 ;207 ;5,005 ;473,030 ;7,957 ;338,534 ;14,899 ;44,288 ;54,956 ;111,675 ;2,570 ;
;1909 ;4,215-798 ;23,987 ;5,832 ;10,168 ;2,841 ;184 ;685 ;2,352 ;1,718 ;207 ;5,005 ;473,794 ;S,011 ;339,125 ;14,852 ;43,908 ;55,068 ;111,754 ;2,590 ;





